  Frequency            , DB(V(N00099)-V(N00103)), DB(V(N00115)-V(N00119)), DB(V(N00107)-V(N00111)), DB(V(N00123)-V(N00131)), DB((V(N00115)-V(N00119))/(V(N00099)-V(N00103))), DB((V(N00123)-V(N00131))/(V(N00107)-V(N00111)))
  1.840772001469e+08  ,-5.810499664887e+00  ,-5.813841017830e+01  ,-5.823082980579e+00  ,-6.584731793386e+01  ,-5.232791051342e+01  ,-6.002423495328e+01  
  1.851398894205e+08  ,-5.795532000273e+00  ,-5.802257365265e+01  ,-5.805077395707e+00  ,-6.573373158343e+01  ,-5.222704165238e+01  ,-5.992865418772e+01  
  1.862087136663e+08  ,-5.780373127355e+00  ,-5.790554012834e+01  ,-5.786893628618e+00  ,-6.561940078898e+01  ,-5.212516700098e+01  ,-5.983250716036e+01  
  1.872837083018e+08  ,-5.765021250162e+00  ,-5.778729166375e+01  ,-5.768529431756e+00  ,-6.550430574003e+01  ,-5.202227041359e+01  ,-5.973577630827e+01  
  1.883649089490e+08  ,-5.749474556228e+00  ,-5.766781016818e+01  ,-5.749982519191e+00  ,-6.538842543739e+01  ,-5.191833561195e+01  ,-5.963844291820e+01  
  1.894523514357e+08  ,-5.733731215224e+00  ,-5.754707742175e+01  ,-5.731250564383e+00  ,-6.527173760725e+01  ,-5.181334620653e+01  ,-5.954048704287e+01  
  1.905460717963e+08  ,-5.717789379963e+00  ,-5.742507509691e+01  ,-5.712331200735e+00  ,-6.515421860051e+01  ,-5.170728571695e+01  ,-5.944188739977e+01  
  1.916461062736e+08  ,-5.701647187171e+00  ,-5.730178479164e+01  ,-5.693222022103e+00  ,-6.503584328289e+01  ,-5.160013760447e+01  ,-5.934262126079e+01  
  1.927524913191e+08  ,-5.685302754554e+00  ,-5.717718806423e+01  ,-5.673920579963e+00  ,-6.491658490555e+01  ,-5.149188530968e+01  ,-5.924266432559e+01  
  1.938652635952e+08  ,-5.668754184088e+00  ,-5.705126648553e+01  ,-5.654424385785e+00  ,-6.479641496615e+01  ,-5.138251230144e+01  ,-5.914199058036e+01  
  1.949844599758e+08  ,-5.651999559015e+00  ,-5.692400169254e+01  ,-5.634730908411e+00  ,-6.467530304568e+01  ,-5.127200213353e+01  ,-5.904057213727e+01  
  1.961101175476e+08  ,-5.635036945920e+00  ,-5.679537546138e+01  ,-5.614837576266e+00  ,-6.455321662746e+01  ,-5.116033851546e+01  ,-5.893837905119e+01  
  1.972422736115e+08  ,-5.617864394545e+00  ,-5.666536979669e+01  ,-5.594741774481e+00  ,-6.443012088674e+01  ,-5.104750540214e+01  ,-5.883537911226e+01  
  1.983809656837e+08  ,-5.600479935086e+00  ,-5.653396703297e+01  ,-5.574440847196e+00  ,-6.430597846141e+01  ,-5.093348709788e+01  ,-5.873153761422e+01  
  1.995262314969e+08  ,-5.582881580297e+00  ,-5.640114996521e+01  ,-5.553932096093e+00  ,-6.418074917544e+01  ,-5.081826838491e+01  ,-5.862681707935e+01  
  2.006781090018e+08  ,-5.565067325379e+00  ,-5.626690200354e+01  ,-5.533212781420e+00  ,-6.405438973614e+01  ,-5.070183467816e+01  ,-5.852117695472e+01  
  2.018366363682e+08  ,-5.547035145983e+00  ,-5.613120735800e+01  ,-5.512280121382e+00  ,-6.392685337956e+01  ,-5.058417221202e+01  ,-5.841457325818e+01  
  2.030018519860e+08  ,-5.528782999069e+00  ,-5.599405126564e+01  ,-5.491131294034e+00  ,-6.379808946482e+01  ,-5.046526826657e+01  ,-5.830695817078e+01  
